,Ticker,UnderlyingPrice,Flags,Type,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest,Expires,Data_Date
231411,ERI,9.6,*,call,10.0,0.0,0.0,0.3,0,0,0,2016-02-19,2016-02-18
231412,ERI,9.6,*,put,10.0,0.0,0.15,0.65,0,0,0,2016-02-19,2016-02-18
231413,ERI,9.6,*,call,12.5,0.0,0.0,0.25,0,0,0,2016-02-19,2016-02-18
231414,ERI,9.6,*,put,12.5,0.0,2.55,3.3,0,0,0,2016-02-19,2016-02-18
231415,ERI,9.6,*,call,15.0,0.0,0.0,0.25,0,0,0,2016-02-19,2016-02-18
231416,ERI,9.6,*,put,15.0,0.0,5.0,5.8,0,0,0,2016-02-19,2016-02-18
231417,ERI,9.6,*,call,7.5,1.8,1.85,2.65,0,5,0,2016-03-18,2016-02-18
231418,ERI,9.6,*,put,7.5,0.0,0.0,0.3,0,0,0,2016-03-18,2016-02-18
231419,ERI,9.6,*,call,10.0,0.55,0.25,0.65,0,253,0,2016-03-18,2016-02-18
231420,ERI,9.6,*,put,10.0,1.1,0.65,1.0,0,140,0,2016-03-18,2016-02-18
231421,ERI,9.6,*,call,12.5,0.5,0.0,0.3,0,31,0,2016-03-18,2016-02-18
231422,ERI,9.6,*,put,12.5,2.4,2.5,3.4,0,10,0,2016-03-18,2016-02-18
231423,ERI,9.6,*,call,5.0,4.5,4.2,5.2,0,0,0,2016-06-17,2016-02-18
231424,ERI,9.6,*,put,5.0,0.0,0.0,0.4,0,0,0,2016-06-17,2016-02-18
231425,ERI,9.6,*,call,7.5,2.65,2.15,2.75,0,3,0,2016-06-17,2016-02-18
231426,ERI,9.6,*,put,7.5,0.0,0.0,0.7,0,0,0,2016-06-17,2016-02-18
231427,ERI,9.6,*,call,10.0,1.4,0.75,1.3,0,36,0,2016-06-17,2016-02-18
231428,ERI,9.6,*,put,10.0,0.0,1.05,1.6,0,0,0,2016-06-17,2016-02-18
231429,ERI,9.6,*,call,12.5,0.72,0.0,0.65,0,3,0,2016-06-17,2016-02-18
231430,ERI,9.6,*,put,12.5,3.6,2.75,3.6,0,20,0,2016-06-17,2016-02-18
231431,ERI,9.6,*,call,15.0,0.0,0.0,0.5,0,0,0,2016-06-17,2016-02-18
231432,ERI,9.6,*,put,15.0,0.0,5.0,5.9,0,0,0,2016-06-17,2016-02-18
231433,ERI,9.6,*,call,5.0,0.0,3.9,5.5,0,0,0,2016-09-16,2016-02-18
231434,ERI,9.6,*,put,5.0,0.0,0.0,0.6,0,0,0,2016-09-16,2016-02-18
231435,ERI,9.6,*,call,7.5,0.0,2.2,3.5,0,0,0,2016-09-16,2016-02-18
231436,ERI,9.6,*,put,7.5,0.0,0.15,1.05,0,0,0,2016-09-16,2016-02-18
231437,ERI,9.6,*,call,10.0,1.65,0.9,1.7,0,7,0,2016-09-16,2016-02-18
231438,ERI,9.6,*,put,10.0,0.0,1.25,2.1,0,0,0,2016-09-16,2016-02-18
231439,ERI,9.6,*,call,12.5,0.9,0.2,1.05,0,3,0,2016-09-16,2016-02-18
